,Name,From,To,Pos,Ht,Wt,Birth Date,Age,Pic
davisan02,Anthony Davis,2013,2022,F-C,6-10,253.0,3/11/1993,28,https://www.basketball-reference.com/req/202106291/images/players/davisan02.jpg
davised01,Ed Davis,2011,2022,F,6-9,218.0,6/5/1989,32,https://www.basketball-reference.com/req/202106291/images/players/davised01.jpg
daviste02,Terence Davis,2020,2022,G,6-4,201.0,5/16/1997,24,https://www.basketball-reference.com/req/202106291/images/players/daviste02.jpg
derozde01,DeMar DeRozan,2010,2022,G-F,6-6,220.0,8/7/1989,32,https://www.basketball-reference.com/req/202106291/images/players/derozde01.jpg
dedmode01,Dewayne Dedmon,2014,2022,C,7-0,245.0,8/12/1989,32,https://www.basketball-reference.com/req/202106291/images/players/dedmode01.jpg
dellama01,Matthew Dellavedova,2014,2021,G,6-3,200.0,9/8/1990,31,https://www.basketball-reference.com/req/202106291/images/players/dellama01.jpg
divindo01,Donte DiVincenzo,2019,2021,G,6-4,203.0,1/31/1997,24,https://www.basketball-reference.com/req/202106291/images/players/divindo01.jpg
diallch01,Cheick Diallo,2017,2020,F,6-8,219.0,9/13/1996,25,https://www.basketball-reference.com/req/202106291/images/players/diallch01.jpg
diallha01,Hamidou Diallo,2019,2022,G,6-5,202.0,7/31/1998,23,https://www.basketball-reference.com/req/202106291/images/players/diallha01.jpg
dienggo01,Gorgui Dieng,2014,2022,C,6-10,252.0,1/18/1990,31,https://www.basketball-reference.com/req/202106291/images/players/dienggo01.jpg
dinwisp01,Spencer Dinwiddie,2015,2022,G,6-5,215.0,4/6/1993,28,https://www.basketball-reference.com/req/202106291/images/players/dinwisp01.jpg
doncilu01,Luka Dončić,2019,2022,G-F,6-7,230.0,2/28/1999,22,https://www.basketball-reference.com/req/202106291/images/players/doncilu01.jpg
dortlu01,Luguentz Dort,2020,2022,G,6-3,215.0,4/19/1999,22,https://www.basketball-reference.com/req/202106291/images/players/dortlu01.jpg
dotsoda01,Damyean Dotson,2018,2021,G,6-5,210.0,5/6/1994,27,https://www.basketball-reference.com/req/202106291/images/players/dotsoda01.jpg
doumbse01,Sekou Doumbouya,2020,2022,F,6-8,230.0,12/23/2000,20,https://www.basketball-reference.com/req/202106291/images/players/doumbse01.jpg
doziepj01,PJ Dozier,2018,2022,G,6-6,205.0,10/25/1996,25,https://www.basketball-reference.com/req/202106291/images/players/doziepj01.jpg
dragigo01,Goran Dragić,2009,2022,G,6-3,190.0,5/6/1986,35,https://www.basketball-reference.com/req/202106291/images/players/dragigo01.jpg
drumman01,Andre Drummond,2013,2022,C,6-10,279.0,8/10/1993,28,https://www.basketball-reference.com/req/202106291/images/players/drumman01.jpg
dudleja01,Jared Dudley,2008,2021,F-G,6-6,237.0,7/10/1985,36,https://www.basketball-reference.com/req/202106291/images/players/dudleja01.jpg
dunnkr01,Kris Dunn,2017,2021,G,6-3,205.0,3/18/1994,27,https://www.basketball-reference.com/req/202106291/images/players/dunnkr01.jpg
edwarca01,Carsen Edwards,2020,2021,G,5-11,200.0,3/12/1998,23,https://www.basketball-reference.com/req/202106291/images/players/edwarca01.jpg
ellenhe01,Henry Ellenson,2017,2021,F,6-10,240.0,1/13/1997,24,https://www.basketball-reference.com/req/202106291/images/players/ellenhe01.jpg
ellinwa01,Wayne Ellington,2010,2022,G,6-4,207.0,11/29/1987,34,https://www.basketball-reference.com/req/202106291/images/players/ellinwa01.jpg
embiijo01,Joel Embiid,2017,2022,C,7-0,280.0,3/16/1994,27,https://www.basketball-reference.com/req/202106291/images/players/embiijo01.jpg
ennisja01,James Ennis,2015,2021,F,6-6,215.0,7/1/1990,31,https://www.basketball-reference.com/req/202106291/images/players/ennisja01.jpg
eubandr01,Drew Eubanks,2019,2022,F,6-9,245.0,2/1/1997,24,https://www.basketball-reference.com/req/202106291/images/players/eubandr01.jpg
evansja02,Jacob Evans,2019,2020,G-F,6-4,210.0,6/18/1997,24,https://www.basketball-reference.com/req/202106291/images/players/evansja02.jpg
exumda01,Dante Exum,2015,2021,G,6-5,214.0,7/13/1995,26,https://www.basketball-reference.com/req/202106291/images/players/exumda01.jpg
fallta01,Tacko Fall,2020,2022,C,7-5,311.0,12/10/1995,25,https://www.basketball-reference.com/req/202106291/images/players/fallta01.jpg
favorde01,Derrick Favors,2011,2022,F-C,6-9,265.0,7/15/1991,30,https://www.basketball-reference.com/req/202106291/images/players/favorde01.jpg
feliccr01,Cristiano Felício,2016,2021,F-C,6-11,270.0,7/7/1992,29,https://www.basketball-reference.com/req/202106291/images/players/feliccr01.jpg
fergute01,Terrance Ferguson,2018,2021,G-F,6-6,190.0,5/17/1998,23,https://www.basketball-reference.com/req/202106291/images/players/fergute01.jpg
fernabr01,Bruno Fernando,2020,2022,F,6-9,240.0,8/15/1998,23,https://www.basketball-reference.com/req/202106291/images/players/fernabr01.jpg
ferreyo01,Yogi Ferrell,2017,2021,G,6-0,178.0,5/9/1993,28,https://www.basketball-reference.com/req/202106291/images/players/ferreyo01.jpg
finnedo01,Dorian Finney-Smith,2017,2022,F,6-7,220.0,5/4/1993,28,https://www.basketball-reference.com/req/202106291/images/players/finnedo01.jpg
forbebr01,Bryn Forbes,2017,2022,G,6-2,205.0,7/23/1993,28,https://www.basketball-reference.com/req/202106291/images/players/forbebr01.jpg
fournev01,Evan Fournier,2013,2022,G-F,6-7,205.0,10/29/1992,29,https://www.basketball-reference.com/req/202106291/images/players/fournev01.jpg
foxde01,De'Aaron Fox,2018,2022,G,6-3,185.0,12/20/1997,23,https://www.basketball-reference.com/req/202106291/images/players/foxde01.jpg
frazime01,Melvin Frazier,2019,2020,G,6-5,215.0,8/30/1996,25,https://www.basketball-reference.com/req/202106291/images/players/frazime01.jpg
frazimi01,Michael Frazier,2020,2020,G,6-3,200.0,3/8/1994,27,https://www.basketball-reference.com/req/202106291/images/players/frazimi01.jpg
fraziti01,Tim Frazier,2015,2021,G,6-0,170.0,11/1/1990,31,https://www.basketball-reference.com/req/202106291/images/players/fraziti01.jpg
fultzma01,Markelle Fultz,2018,2021,G,6-3,209.0,5/29/1998,23,https://www.basketball-reference.com/req/202106291/images/players/fultzma01.jpg
gabriwe01,Wenyen Gabriel,2020,2021,F,6-9,205.0,3/26/1997,24,https://www.basketball-reference.com/req/202106291/images/players/gabriwe01.jpg
gaffoda01,Daniel Gafford,2020,2022,F,6-10,234.0,10/1/1998,23,https://www.basketball-reference.com/req/202106291/images/players/gaffoda01.jpg
gallida01,Danilo Gallinari,2009,2022,F,6-10,233.0,8/8/1988,33,https://www.basketball-reference.com/req/202106291/images/players/gallida01.jpg
gallola01,Langston Galloway,2015,2021,G,6-1,200.0,12/9/1991,29,https://www.basketball-reference.com/req/202106291/images/players/gallola01.jpg
garlada01,Darius Garland,2020,2022,G,6-1,192.0,1/26/2000,21,https://www.basketball-reference.com/req/202106291/images/players/garlada01.jpg
gasolma01,Marc Gasol,2009,2021,C,6-11,255.0,1/29/1985,36,https://www.basketball-reference.com/req/202106291/images/players/gasolma01.jpg
gayru01,Rudy Gay,2007,2022,F,6-8,250.0,8/17/1986,35,https://www.basketball-reference.com/req/202106291/images/players/gayru01.jpg
georgpa01,Paul George,2011,2022,F,6-8,220.0,5/2/1990,31,https://www.basketball-reference.com/req/202106291/images/players/georgpa01.jpg
gibsota01,Taj Gibson,2010,2022,F,6-9,232.0,6/24/1985,36,https://www.basketball-reference.com/req/202106291/images/players/gibsota01.jpg
gilesha01,Harry Giles,2019,2021,F-C,6-11,240.0,4/22/1998,23,https://www.basketball-reference.com/req/202106291/images/players/gilesha01.jpg
gilgesh01,Shai Gilgeous-Alexander,2019,2022,G,6-6,180.0,7/12/1998,23,https://www.basketball-reference.com/req/202106291/images/players/gilgesh01.jpg
goberru01,Rudy Gobert,2014,2022,C,7-1,258.0,6/26/1992,29,https://www.basketball-reference.com/req/202106291/images/players/goberru01.jpg
goodwbr01,Brandon Goodwin,2019,2021,G,6-0,180.0,10/2/1995,26,https://www.basketball-reference.com/req/202106291/images/players/goodwbr01.jpg
gordoaa01,Aaron Gordon,2015,2022,F,6-8,235.0,9/16/1995,26,https://www.basketball-reference.com/req/202106291/images/players/gordoaa01.jpg
gordoer01,Eric Gordon,2009,2022,G-F,6-3,215.0,12/25/1988,32,https://www.basketball-reference.com/req/202106291/images/players/gordoer01.jpg
grahade01,Devonte' Graham,2019,2022,G,6-1,195.0,2/22/1995,26,https://www.basketball-reference.com/req/202106291/images/players/grahade01.jpg
grahatr01,Treveon Graham,2017,2020,G,6-5,219.0,10/28/1993,28,https://www.basketball-reference.com/req/202106291/images/players/grahatr01.jpg
grantje01,Jerami Grant,2015,2022,F,6-8,210.0,3/12/1994,27,https://www.basketball-reference.com/req/202106291/images/players/grantje01.jpg
grantje02,Jerian Grant,2016,2020,G,6-4,205.0,10/9/1992,29,https://www.basketball-reference.com/req/202106291/images/players/grantje02.jpg
grayjo01,Josh Gray,2018,2020,G,6-0,180.0,9/9/1993,28,https://www.basketball-reference.com/req/202106291/images/players/grayjo01.jpg
greenda02,Danny Green,2010,2022,G-F,6-6,215.0,6/22/1987,34,https://www.basketball-reference.com/req/202106291/images/players/greenda02.jpg
greendr01,Draymond Green,2013,2022,F,6-6,230.0,3/4/1990,31,https://www.basketball-reference.com/req/202106291/images/players/greendr01.jpg
greenja01,JaMychal Green,2015,2022,F,6-8,227.0,6/21/1990,31,https://www.basketball-reference.com/req/202106291/images/players/greenja01.jpg
greenja02,Javonte Green,2020,2022,F,6-4,205.0,7/23/1993,28,https://www.basketball-reference.com/req/202106291/images/players/greenja02.jpg
greenje02,Jeff Green,2008,2022,F,6-8,235.0,8/28/1986,35,https://www.basketball-reference.com/req/202106291/images/players/greenje02.jpg
griffbl01,Blake Griffin,2011,2022,F,6-9,250.0,3/16/1989,32,https://www.basketball-reference.com/req/202106291/images/players/griffbl01.jpg
